ORIGIN,TRANSLATE,TYPE,MODULE
Content,Contenido,module,Magento_Catalog
Copy Data from,Copiar datos desde,module,Magento_Catalog
Cost,Coste,module,Magento_Catalog
"Could not assign product ""%1"" to websites ""%2""","No se puede asignar el producto ""%1"" al sitio web ""%2""",module,Magento_Catalog
Could not delete Prices,No se pudieron borrar los precios,module,Magento_Catalog
Could not delete Tier Prices,No se pudieron eliminar los precios de nivel,module,Magento_Catalog
Could not get extension attributes,No se pudieron obtener los atributos de extensión,module,Magento_Catalog
Could not move category,No se puede mover la categoría,module,Magento_Catalog
Could not remove custom option,No se pudo quitar la opción personalizada,module,Magento_Catalog
Could not replace Tier Prices,No se pudo reemplazar los precios de nivel,module,Magento_Catalog
Could not save category: %1,No se puede guardar la categoría: %1,module,Magento_Catalog
Could not save group price,No se puede guardar el grupo de precios,module,Magento_Catalog
Could not save Prices.,No se pudieron guardar los precios.,module,Magento_Catalog
"Could not save product ""%1"" with position %2 to category %3","No se puede guardar el producto ""%1"" con la posición %2 en la categoría %3",module,Magento_Catalog
"Could not save product ""%1"" with websites %2","No se puede guardar el producto ""%1"" con el sitio web %2",module,Magento_Catalog
"Could not save product ""%product"" with position %position to category %category","No se pueden guardar el producto ""%product"" con la posición %position a la categoría %category",module,Magento_Catalog
Could not save product option,No se puede guardar la opción del producto,module,Magento_Catalog
Could not save Tier Prices,No se pudieron guardar los precios de nivel,module,Magento_Catalog
Create Category,Crear categoría,module,Magento_Catalog
Create New Attribute,Crear nuevo atributo,module,Magento_Catalog
Cross-Sell Products,Artículos de venta cruzada,module,Magento_Catalog
Cross-sells,Ventas cruzadas,module,Magento_Catalog
Custom Design,Diseño Personalizado,module,Magento_Catalog
Custom image,Imagen personalizada,module,Magento_Catalog
Custom Options,Opciones personalizadas,module,Magento_Catalog
Custom options let customers choose the product variations they want.,Las opciones personalizadas permiten al comprador de elegir la variante de producto que quieren.,module,Magento_Catalog
Customer Group,Grupo de Clientes,module,Magento_Catalog
Customer Group Price,Customer Group Price,module,Magento_Catalog
Customizable Options,Opciones personalizables,module,Magento_Catalog
Data Type for Saving in Database,Tipo de datos para guardar en la base de datos,module,Magento_Catalog
Database connection error,Error de conexión a la base de datos,module,Magento_Catalog
Database deadlock found when trying to get lock,Se ha encontrado un punto muerto en la base de datos al intentar bloquearse,module,Magento_Catalog
Database lock wait timeout exceeded,Tiempo de espera de bloqueo de la base de datos excedido,module,Magento_Catalog
Date & Time Custom Options,Opciones personalizadas de fecha y hora,module,Magento_Catalog
Date Fields Order,Ordenar por fecha,module,Magento_Catalog
Datetime,Fecha/hora,module,Magento_Catalog
Day,Día,module,Magento_Catalog
Decimal,Decimal,module,Magento_Catalog
Declare attribute value saving scope,Determinar el área de almacenamiento de los valores del atributo ,module,Magento_Catalog
Declare attribute value saving scope.,Determinar el área de almacenamiento de los valores del atributo.,module,Magento_Catalog
Default Category Layout,Diseño de categoría predeterminado,module,Magento_Catalog
Default Layouts,Diseños por defecto,module,Magento_Catalog
Default Price,Precio (predeterminado),module,Magento_Catalog
Default Product Layout,Diseño de producto predeterminado,module,Magento_Catalog
Default Product Listing Sort By,Default Product Listing Sort By,module,Magento_Catalog
Default Product Listing Sort by does not exist in Available Product Listing Sort By.,El orden predeterminado del listado de artículos no existe en los listados de artículos disponibles.,module,Magento_Catalog
Default Product Sorting,Ordenamiento por Defecto de Productos,module,Magento_Catalog
Default Value,Valor predeterminado,module,Magento_Catalog
Default Values,Valores por defecto,module,Magento_Catalog
Delete,Eliminar,module,Magento_Catalog
Delete Attribute,Eliminar atributo,module,Magento_Catalog
Delete Category,Eliminar categoría,module,Magento_Catalog
Delete Custom Option,Eliminar opción personalizada,module,Magento_Catalog
Delete image,Eliminar imagen,module,Magento_Catalog
Delete items,Eliminar elementos,module,Magento_Catalog
Delete Row,Eliminar fila,module,Magento_Catalog
Delete Selected Group,Eliminar grupo seleccionado,module,Magento_Catalog
Delete selected items?,¿Eliminar los elementos seleccionados?,module,Magento_Catalog
Delete Tier,Eliminar escalones de precios,module,Magento_Catalog
Depends on design theme,Depende del tema de diseño,module,Magento_Catalog
Depends on design theme.,Depende del tema de diseño.,module,Magento_Catalog
Description,Descripción,module,Magento_Catalog
Design,Diseño,module,Magento_Catalog
Details,Detalles,module,Magento_Catalog
Disable,Desactivar,module,Magento_Catalog
Disabled,Deshabilitado,module,Magento_Catalog
Discount,Descuento,module,Magento_Catalog
Display Mode,Modo de visualización,module,Magento_Catalog
Display Page Control,Mostrar control de página,module,Magento_Catalog
Display Settings,Configuración de la pantalla,module,Magento_Catalog
Display Type,Tipo de visualización,module,Magento_Catalog
Do not change the scope. %1,No cambiar el alcance. %1,module,Magento_Catalog
does not implement Storage Interface,does not implement Storage Interface,module,Magento_Catalog
Does this have a weight?,¿Esto tiene un peso?,module,Magento_Catalog
Done,Listo,module,Magento_Catalog
Double click on a group to rename it.,Haga doble clic en un grupo para cambiar el nombre.,module,Magento_Catalog
Dropdown,Lista desplegable,module,Magento_Catalog
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P. ej. {{media url=""path/to/imagen.jpg""}} {{skin url=""path/to/imagen.gif""}}. Directivas dinámicas tienen un impactos negativo al rendimiento de catálogo.",module,Magento_Catalog
Edit,Editar,module,Magento_Catalog
Edit Attribute Set '%1',"Editar el conjunto de atributos ""%1""",module,Magento_Catalog
Edit Attribute Set Name,Editar nombre del conjunto de atributos,module,Magento_Catalog
Edit Product Attribute,Editar atributo del artículo,module,Magento_Catalog
"Edit Product Attribute ""%1""","Editar atributo del artículo ""%1""",module,Magento_Catalog
Email,Correo electrónico,module,Magento_Catalog
Empty,Vacía,module,Magento_Catalog
Enable,Habilitar,module,Magento_Catalog
Enable Category,Habilitar la categoría,module,Magento_Catalog
Enable Qty Increments,Habilitar incrementos de cantidad,module,Magento_Catalog
Enable WYSIWYG,Habilitar WYSIWYG,module,Magento_Catalog
Enabled,Habilitado,module,Magento_Catalog
Enter Name for New Attribute Set,Ingresar el nombre para el nuevo conjunto de atributos,module,Magento_Catalog
"Enter separated extensions, like: png, jpg, gif.","Introducir las extensiones separadas, como: png, jpg, gif.",module,Magento_Catalog
Example format: 200x300.,Formato de ejemplo: 200 x 300.,module,Magento_Catalog
example notice,aviso de ejemplo,module,Magento_Catalog
Expand All,Abrir todos,module,Magento_Catalog
Failed to save new media gallery entry.,Error al guardar la nueva entrada multimedia en la galería.,module,Magento_Catalog
File '%1' is not an image.,El archivo '%1' no es una imagen.,module,Magento_Catalog
File \'%1\' is not an image.,El archivo \'%1\' no es una imagen.,module,Magento_Catalog
File can not be saved to the destination folder.,El archivo no puede guardarse en la carpeta de destino.,module,Magento_Catalog
File validation failed.,Validación de archivo fallida.,module,Magento_Catalog
First Name,Nombre,module,Magento_Catalog
Fixed,Fijo,module,Magento_Catalog
fl,fl,module,Magento_Catalog
For internal use,Para uso interno,module,Magento_Catalog
from,desde,module,Magento_Catalog
frontend_label,frontend_label,module,Magento_Catalog
Full file path is expected.,Se espera la ruta completa del archivo.,module,Magento_Catalog
Gallery,Galería,module,Magento_Catalog
Global,Global,module,Magento_Catalog
Globally Editable,Editable globalmente,module,Magento_Catalog
Go to Home Page,Ir a inicio,module,Magento_Catalog
Grid,Cuadricula,module,Magento_Catalog
Grid (default) / List,Cuadricula (por defecto) / Lista,module,Magento_Catalog
Grid Only,Sólo cuadrícula,module,Magento_Catalog
Group price must be a number greater than 0.,Precio de grupo debe ser un número mayor que 0.,module,Magento_Catalog
"Group with id ""%1"" does not exist.","El grupo con id ""%1"" no existe.",module,Magento_Catalog
Groups,Grupos,module,Magento_Catalog
Hidden,Oculto,module,Magento_Catalog
Hide from Product Page,Ocultar de la página de producto,module,Magento_Catalog
Home,Inicio,module,Magento_Catalog
ID,ID,module,Magento_Catalog
ID: %1,ID: %1,module,Magento_Catalog
"If empty, we'll use the category name here.","Si está vacío, usaremos el nombre de categoría aquí.",module,Magento_Catalog
"If empty, we'll use the product name here.","Si está vacío, usaremos el nombre del producto aquí.",module,Magento_Catalog
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Si no hay categorías padres personalizadas, por favor utilice la categoría principal predeterminada. Usted puede reasignar la categoría en cualquier momento en <a href=""%1"" target=""_blank"">Productos > Categorias</a>.",module,Magento_Catalog
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Si no hay categorías principales personalizadas, por favor utilice la categoría principal por defecto. Usted puede reasignar la categoría en cualquier momento en <a href=\%1\"" target=\""_blank\""> productos > categorías</a>.""",module,Magento_Catalog
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Si su instalación de Magento tiene varios sitios web, puede editar el alcance para usar el producto en sitios específicos.",module,Magento_Catalog
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si su sitio Magento cuenta con múltiples vistas, puede fijar el alcance para aplicar a una vista específica.",module,Magento_Catalog
Image,Imagen,module,Magento_Catalog
Image Detail,Detalles de la imagen,module,Magento_Catalog
Image Opacity,Opacidad de la imagen,module,Magento_Catalog
Image Position,Posición de la imagen,module,Magento_Catalog
Image Resolution,Resolución de imagen,module,Magento_Catalog
Image Size,Tamaño de la imagen,module,Magento_Catalog
Images,Imágenes,module,Magento_Catalog
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)",module,Magento_Catalog
Images and Videos,Imágenes y vídeos,module,Magento_Catalog
Images Upload Configuration,Configuración de carga de imágenes,module,Magento_Catalog
Import,Importar,module,Magento_Catalog
Import Options,Opciones de importación,module,Magento_Catalog
In Stock,En Stock,module,Magento_Catalog
Inc. Tax,Impuestos incluídos,module,Magento_Catalog
Include in Menu,Incluir en el menú,module,Magento_Catalog
Index product EAV,Índice de artículo EAV,module,Magento_Catalog
Index product prices,Indexar los precios de artículos,module,Magento_Catalog
Indexed category/products association,Asociación categoría/artículos indexada,module,Magento_Catalog
Indexed product/categories association,Asociación de categorías de productos indexadas,module,Magento_Catalog
Input Type,Introducir tipo,module,Magento_Catalog
Input Validation for Store Owner,Validación de entrada para el dueño de la tienda,module,Magento_Catalog
Integer,Entero,module,Magento_Catalog
Invalid attribute %1,Atributo %1 inválido,module,Magento_Catalog
Invalid attribute %fieldName = %fieldValue.,Atributo invalido %fieldName = %fieldValue.,module,Magento_Catalog
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo invalido %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.",module,Magento_Catalog
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Atributo invalido Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.",module,Magento_Catalog
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo invalido Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.",module,Magento_Catalog
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo invalido Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo invalido Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo invalido Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo invalido SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo invalido Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
Invalid data provided for linked products,Datos proveídos no válidos para productos vinculados,module,Magento_Catalog
Invalid data provided for tier_price,Datos proporcionados no válidos para tier_price,module,Magento_Catalog
Invalid option id %1,Opción id %1 no válida,module,Magento_Catalog
Invalid product data: %1,Dato de producto no válido: %1,module,Magento_Catalog
Invalid product id. Should be numeric value greater than 0,ID del producto no válida. Debe ser valor numérico mayor que 0,module,Magento_Catalog
Inventory,Inventario,module,Magento_Catalog
Is Default,Es por defecto,module,Magento_Catalog
Item Price,Precio del artículo,module,Magento_Catalog
Items %1-%2 of %3,Artículos %1-%2 de %3,module,Magento_Catalog
Jpeg quality for resized images 1-100%.,Calidad jpeg para imágenes redimensionadas 1-100%.,module,Magento_Catalog
label,etiqueta,module,Magento_Catalog
Last Name,Apellido,module,Magento_Catalog
Last Notified,Última notificación,module,Magento_Catalog
Layered Navigation Price Step,Paso por capas de navegación de precios,module,Magento_Catalog
Layout,Diseño,module,Magento_Catalog
Layout Update XML,Actualización de diseño XML,module,Magento_Catalog
Learn More,Saber más,module,Magento_Catalog
Learn More Link,Más información Enlace,module,Magento_Catalog
Lifetime of products in Recently Compared Widget,Vida útil de productos en Widget recientemente comparado,module,Magento_Catalog
Lifetime of products in Recently Viewed Widget,Vida útil de los productos en el widget recientemente visto,module,Magento_Catalog
Link to a Specified Category,Enlace a una categoría específica,module,Magento_Catalog
Link to a Specified Product,Enlace a un artículo específico,module,Magento_Catalog
List,Lista,module,Magento_Catalog
List (default) / Grid,Lista (por defecto) / cuadrícula,module,Magento_Catalog
List Mode,Modo de lista,module,Magento_Catalog
List of Products Recently Compared by Visitor,List of Products Recently Compared by Visitor,module,Magento_Catalog
List of Products Recently Viewed by Visitor,List of Products Recently Viewed by Visitor,module,Magento_Catalog
List of Products that are set as New,Lista de artículos marcados como nuevos,module,Magento_Catalog
List Only,Sólo lista,module,Magento_Catalog
Loading...,Cargando...,module,Magento_Catalog
Lock wait timeout,Tiempo de espera de bloqueo,module,Magento_Catalog
Low Stock Products,Artículos con baja cantidad en inventario,module,Magento_Catalog
Main,Principal,module,Magento_Catalog
Make Base,Hacer Base,module,Magento_Catalog
Make sure the To Date is later than or the same as the From Date.,Asegúrese de que la fecha de termino es posterior o igual a la fecha de inicio.,module,Magento_Catalog
Manage Attribute Sets,Gestionar conjuntos de atributos,module,Magento_Catalog
Manage Catalog Categories,Gestionar categorías del catálogo,module,Magento_Catalog
Manage Categories,Gestionar categorías,module,Magento_Catalog
Manage Labels,Administrar etiquetas,module,Magento_Catalog
Manage Options (Values of Your Attribute),Gestionar opciones (valores del atributo),module,Magento_Catalog
Manage Product Attributes,Gestionar atributos del artículo,module,Magento_Catalog
Manage Product Sets,Gestionar conjuntos de artículos,module,Magento_Catalog
Manage Stock,Gestionar stock,module,Magento_Catalog
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)",module,Magento_Catalog
Manual,Manual,module,Magento_Catalog
Mask for Meta Description,Máscara para la descripción de la Meta,module,Magento_Catalog
Mask for Meta Keywords,Máscara para el Meta Keywords,module,Magento_Catalog
Mask for Meta Title,Máscara para Meta Title,module,Magento_Catalog
Mask for SKU,Máscara para el SKU,module,Magento_Catalog
Mass Actions,Acción masiva,module,Magento_Catalog
Max Characters,Número máximos de caractéres,module,Magento_Catalog
Maximal Depth,Profundidad máxima,module,Magento_Catalog
Maximum %1 characters,Máximo %s caracteres.,module,Magento_Catalog
Maximum image height,Altura máxima de la imagen,module,Magento_Catalog
Maximum Image Size,Tamaño máximo de la imagen,module,Magento_Catalog
Maximum image width,Anchura máxima de la imagen,module,Magento_Catalog
Maximum number of characters:,Número máximo de caracteres:,module,Magento_Catalog
Maximum Qty Allowed in Shopping Cart,Cantidad máxima permitida en el carrito de compras,module,Magento_Catalog
Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.,El contenido de los medios se insertará en el editor como una URL estática. El contenido multimedia no se actualiza si la URL de la base de configuración del sistema cambia.,module,Magento_Catalog
Media Gallery converter should be an instance of EntryConverterInterface.,EL convertidor de galería multimedia debe ser una instancia de EntryConverterInterface.,module,Magento_Catalog
Media Image,Imagen multimedia,module,Magento_Catalog
message,mensaje,module,Magento_Catalog
Meta Description,Meta descripción,module,Magento_Catalog
Meta Keywords,Meta palabras claves,module,Magento_Catalog
Meta Title,Título meta,module,Magento_Catalog
Minimum Qty Allowed in Shopping Cart,Cantidad mínima permitida en el carrito de compras,module,Magento_Catalog
Month,Mes,module,Magento_Catalog
More Choices:,Más opciones:,module,Magento_Catalog
More Information,Más información,module,Magento_Catalog
Multiple Select,Selección múltiple,module,Magento_Catalog
Must be category model instance or its id.,Debe ser instancia de la categoría de modelo o su id.,module,Magento_Catalog
Must be in the allowed values list,Debe estar en la lista de valores permitidos,module,Magento_Catalog
N/A,No disponible,module,Magento_Catalog
Name,Nombre,module,Magento_Catalog
Name in %1,Nombre en %1,module,Magento_Catalog
New Attribute,Nuevo atributo,module,Magento_Catalog
New Attribute Set,Nuevo conjunto de atributos,module,Magento_Catalog
New Category,Nueva categoría,module,Magento_Catalog
New Option,Nueva opción,module,Magento_Catalog
New Product,Nuevo artículo,module,Magento_Catalog
New Product Attribute,Nuevo atributo de artículo,module,Magento_Catalog
New Products,Nuevos Productos,module,Magento_Catalog
New Products from %1,Nuevos artículos de %1,module,Magento_Catalog
New Products Grid Template,Plantilla de cuadrícula de nuevos artículos,module,Magento_Catalog
New Products Images and Names Template,Plantilla de imágenes de productos y nombres nuevas,module,Magento_Catalog
New Products Images Only Template,Plantilla de sólo imágenes de nuevos productos,module,Magento_Catalog
New Products List Template,Plantilla de lista de nuevos artículos,module,Magento_Catalog
New Products Names Only Template,Plantilla de sólo nombres de nuevos productos,module,Magento_Catalog
New Root Category,Nueva categoría raíz,module,Magento_Catalog
New Set,Nuevo conjunto,module,Magento_Catalog
New Set Name,Nuevo nombre de conjunto,module,Magento_Catalog
New Subcategory,Nueva subcategoría,module,Magento_Catalog
Next,Siguiente,module,Magento_Catalog
No,No,module,Magento_Catalog
No image with the provided ID was found. Verify the ID and try again.,No se encontró ninguna imagen con la ID provista. Verifique la ID y vuelva a intentarlo.,module,Magento_Catalog
No layout updates,No hay actualizaciones de diseño,module,Magento_Catalog
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No existe la entrada del cliente Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.",module,Magento_Catalog
None,Ninguno,module,Magento_Catalog
Not shared with other products,No se comparte con otros artículos,module,Magento_Catalog
Not shared with other products.,No se comparte con otros artículos.,module,Magento_Catalog
Not Visible Individually,No es visible individualmente,module,Magento_Catalog
Notify for Quantity Below,Notificar cuando la cantidad sea inferior a,module,Magento_Catalog
Notify Low Stock RSS,RSS de notificación de bajas cantidades en inventario,module,Magento_Catalog
Number of Products per Page,Número de artículos por página,module,Magento_Catalog
Number of Products to Display,Número de artículos a mostrar,module,Magento_Catalog
OK,Aceptar,module,Magento_Catalog
Operation do not allow to move a parent category to any of children category,No se puede mover una categoría principal a una subcategoría,module,Magento_Catalog
Option required.,Opción requerida.,module,Magento_Catalog
Option Title,Título de opciones,module,Magento_Catalog
Option Type,Tipo de opción,module,Magento_Catalog
Out of Stock,Sin stock,module,Magento_Catalog
Out-of-Stock Threshold,Límite fuera de stock,module,Magento_Catalog
Overview,Resumen,module,Magento_Catalog
Page not found,No se encuentra la página,module,Magento_Catalog
Page Title Separator,Separador de título de página,module,Magento_Catalog
Parent Category,Categoría principal,module,Magento_Catalog
Parent Product Thumbnail,Matriz producto miniatura,module,Magento_Catalog
per page,por página,module,Magento_Catalog
Percent,Porcentaje,module,Magento_Catalog
Percentage value must be a number between 0 and 100.,Percentage value must be a number between 0 and 100.,module,Magento_Catalog
Please add rows to option.,"Por favor, agregar filas a la opción.",module,Magento_Catalog
Please confirm site switching. All data that hasn't been saved will be lost.,Por favor confirmar cambio de ventana. Se perderán todos los datos que no ha sido guardados.,module,Magento_Catalog
Please confirm site switching. All data that hasn\'t been saved will be lost.,Confirme la conmutación del sitio. Todos los datos que no se han guardado se perderán.,module,Magento_Catalog
Please correct the category.,Por favor corrija la categoría.,module,Magento_Catalog
Please correct the image file type.,Por favor corrija el tipo de archivo de imagen.,module,Magento_Catalog
Please enter a new group name.,"Por favor, ingrese un nuevo nombre de grupo.",module,Magento_Catalog
Please enter a number 0 or greater in this field.,"Por favor, introduzca 0 o un número mayor en este campo.",module,Magento_Catalog
Please enter a valid number in this field.,"Por favor, introduzca un número válido en este campo.",module,Magento_Catalog
Please leave blank if it is not an image.,Por favor deje en blanco si no es una imagen.,module,Magento_Catalog
Please make sure to define SKU values for all processed products.,"Por favor, asegúrese de definir valores de SKU para todos los productos procesados.",module,Magento_Catalog
Please provide valid data,Por favor proporcionar datos válidos,module,Magento_Catalog
Please select a node.,Please select a node.,module,Magento_Catalog
Please select a static block.,"Por favor, seleccione un bloque estático.",module,Magento_Catalog
Please select items.,Seleccione artículos.,module,Magento_Catalog
Please select products for attributes update.,"Por favor, seleccione productos para la actualización de atributos.",module,Magento_Catalog
Please specify date required option(s).,"Por favor, especifique las opciones obligatorias de la fecha.",module,Magento_Catalog
Please specify product's required option(s).,"Por favor, especifica la(s) opción(es) requeridas del producto.",module,Magento_Catalog
Please specify product\'s required option(s).,Por favor especifique la (s) opción (es) requerida (s) del producto.,module,Magento_Catalog
Please specify time required option(s).,"Por favor, especifique las opciones obligatorias de la hora.",module,Magento_Catalog
Please use a four-digit year format.,Utilice un formato de año de cuatro dígitos.,module,Magento_Catalog
"Please, specify attributes","Por favor, especifique los atributos",module,Magento_Catalog
PM,PM,module,Magento_Catalog
Position,Posición,module,Magento_Catalog
Position of Watermark for %1,Posición de la marca de agua para %1,module,Magento_Catalog
Prev,Prev,module,Magento_Catalog
Price,Precio,module,Magento_Catalog
Price Alert Subscriptions,Suscripciones de alerta de precio,module,Magento_Catalog
"Price indexer ""%1"" must implement %2 or %3","El indexador de precios ""%1"" debe implementar %2 o %3",module,Magento_Catalog
Price Type,Tipo de precio,module,Magento_Catalog
Price: %1,Precio: %1,module,Magento_Catalog
Print This Page,Imprimir esta página,module,Magento_Catalog
Processor %1 doesn't implement BaseSelectProcessorInterface,Processor %1 doesn't implement BaseSelectProcessorInterface,module,Magento_Catalog
Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped,El procesador %1 no implementa WysiwygConfigDataProcessorInterface. Se saltará,module,Magento_Catalog
Product,Producto,module,Magento_Catalog
Product %1 doesn't have linked %2 as %3,El artículo %1 no tiene un vínculo %2 como %3,module,Magento_Catalog
Product %1 doesn\'t have linked %2 as %3,El producto %1 no ha vinculado %2 como %3,module,Magento_Catalog
Product Alerts,Alertas de artículo,module,Magento_Catalog
Product Attributes,Atributos del producto,module,Magento_Catalog
Product attributes to show,Product attributes to show,module,Magento_Catalog
Product Categories,Categorías de artículo,module,Magento_Catalog
Product EAV,Artículo EAV,module,Magento_Catalog
Product Fields Auto-Generation,Generación automática de campos producto,module,Magento_Catalog
Product Flat Data,Datos fijos de artículo,module,Magento_Catalog
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","El producto no tiene un grupo de precios con estos datos: customerGroupId = '%1', website = %2, qty = %3",module,Magento_Catalog
"Product hasn\'t group price with such data: customerGroupId = \'%1\', website = %2, qty = %3","El producto no tiene el precio del grupo con estos datos: customerGroupId = \'%1\', website = %2, qty = %3",module,Magento_Catalog
Product Image Placeholders,Marcadores de posición de imagen de artículo,module,Magento_Catalog
Product Image Watermarks,Marcas de agua de imagen de artículo,module,Magento_Catalog
Product in Websites,Producto en sitios web,module,Magento_Catalog
Product Info Column,Product Info Column,module,Magento_Catalog
Product is not loaded,El artículo no se ha cargado,module,Magento_Catalog
Product Link Block Template,Plantilla de bloque de Vínculo de artículo,module,Magento_Catalog
Product Link Inline Template,Plantilla en línea de Vínculo de artículo,module,Magento_Catalog
Product Listing Sort by,Listado de artículos ordenado por,module,Magento_Catalog
Product Name or SKU,Nombre del producto o SKU,module,Magento_Catalog
Product offline,Artículo fuera de línea,module,Magento_Catalog
Product online,Artículo en línea,module,Magento_Catalog
Product online status,Estado del artículo en línea,module,Magento_Catalog
Product option with id %1 does not exist,La opción del producto con id %1 no existe,module,Magento_Catalog
Product Price,Precio del artículo,module,Magento_Catalog
Product Thumbnail Itself,Productos por sí mismos en miniatura,module,Magento_Catalog
Product was not registered,Producto no fue registrado,module,Magento_Catalog
Product with ID: %s doesn't exist,Producto con ID: %s no existe,module,Magento_Catalog
Product with SKU '%1' is not linked to product with SKU '%2',El producto con SKU '%1' no está vinculado al producto con SKU '%2',module,Magento_Catalog
"Product with SKU ""%1"" does not exist","El producto con SKU ""%1"" no existe",module,Magento_Catalog
Product with SKU %1 is not linked to product with SKU %2,El producto con SKU %1 no está vinculado al producto con SKU %2,module,Magento_Catalog
productFactory is already set,productFactory is already set,module,Magento_Catalog
Products,Productos,module,Magento_Catalog
Products Comparison List,Lista de Comparación de artículos,module,Magento_Catalog
Products in Category,Productos en la categoría,module,Magento_Catalog
Products Information,Información de artículos,module,Magento_Catalog
Products only,Sólo artículos,module,Magento_Catalog
Products per Page on Grid Allowed Values,Artículos por página (valores permitidos por la cuadrícula),module,Magento_Catalog
Products per Page on Grid Default Value,Artículos por página (predeterminado por la cuadrícula),module,Magento_Catalog
Products per Page on List Allowed Values,Artículos por página (valores permitidos por la lista),module,Magento_Catalog
Products per Page on List Default Value,Artículos por página (predeterminado por la lista),module,Magento_Catalog
ProductSku should be specified,Sku de producto debe ser especificado,module,Magento_Catalog
Properties,Propiedades,module,Magento_Catalog
Provided Attribute set non product Attribute set.,El conjunto de atributos proporcionado no es un conjunto de atributos de artículo.,module,Magento_Catalog
"Provided link type ""%1"" does not exist","El tipo de vínculo proveído ""%1"" no existe",module,Magento_Catalog
px.,px.,module,Magento_Catalog
Qty,Cant.,module,Magento_Catalog
Qty Increments,Incrementos de cantidad,module,Magento_Catalog
Qty Uses Decimals,La cantidad utiliza decimales,module,Magento_Catalog
Quality,Calidad,module,Magento_Catalog
Quantity,Cantidad,module,Magento_Catalog
Recently Compared,Comparado recientemente,module,Magento_Catalog
Recently Compared Products,Productos comparados recientemente,module,Magento_Catalog
Recently Viewed,visto recientemente,module,Magento_Catalog
Recently Viewed Products,productos vistos recientemente,module,Magento_Catalog
Recently Viewed/Compared Products,Productos vistos / comparados recientemente,module,Magento_Catalog
Regular Price,Precio habitual,module,Magento_Catalog
Related Products,Artículos relacionados,module,Magento_Catalog
Related products are shown to customers in addition to the item the customer is looking at.,Los productos relacionados se muestran a los clientes además del artículo que el cliente está viendo.,module,Magento_Catalog
"Related Products, Up-Sells, and Cross-Sells","Artículos relacionados, ventas mejoradas y ventas cruzadas",module,Magento_Catalog
remaining,restantes,module,Magento_Catalog
Remember Category Pagination,Recordar Categoría Paginación,module,Magento_Catalog
Remove,Quitar,module,Magento_Catalog
Remove Product,Eliminar artículo,module,Magento_Catalog
